,scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,Legatarios,Número de pliego
0,Pteridium aquilinum (L.) Kuhn,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, junto a Ulex",,,I. Gómez & J.L. Camaño,LOU 25377
1,Daboecia cantabrica (Huds.) K. Koch,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, junto a Ulex",,,I. Gómez & J.L. Camaño,LOU 25378
2,Plantago major L.,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, junto a Ulex",,,I. Gómez & J.L. Camaño,LOU 25379
3,Lycopus europaeus L.,Po,Arbo,playa fluvial a orillas del Río Deva,29TNG5863,,13-VII-2003,"bosque de ribera, cerca de la orilla del río, terreno encharcado",,,J.L. Camaño & I. Gómez,LOU 25380
4,Cirsium filipendulum Lange,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, junto a Ulex",,,I. Gómez & J.L. Camaño,LOU 25381
5,Teucrium scorodonia L.,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,monte bajo,,,I. Gómez & J.L. Camaño,LOU 25382
6,Blechnum spicant (L.) Roth,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, próximo a riachuelo",,,I. Gómez & J.L. Camaño,LOU 25383
7,Silene latifolia Poir.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,caminos a la salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25384
8,Lamium purpureum L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,caminos a la salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25385
9,Galium murale (L.) All.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,muros a la salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25386
10,Lonicera periclymenum L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25387
11,Digitalis purpurea L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25388
12,Prunella vulgaris L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25389
13,Achillea millefolium L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,"ambiente ruderal, cerca del pueblo",,,I. Gómez & J.L. Camaño,LOU 25390
14,Arnica montana L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,"ambiente ruderal, cerca del pueblo",,,I. Gómez & J.L. Camaño,LOU 25391
15,Potamogeton polygonifolius Pourr.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,en riachuelo,,,I. Gómez & J.L. Camaño,LOU 25392
16,Phytolacca americana L.,Po,Arbo,playa fluvial a orillas del Río Deva,29TNG5863,,13-VII-2003,"bosque de ribera, cerca de la orilla del río",,,J.L. Camaño & I. Gómez,LOU 25393
17,Pterospartum tridentatum (L.) Willk.,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,monte bajo,,,J.L. Camaño & I. Gómez,LOU 25394
18,Cytisus scoparius (L.) Link,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"cunetas de pista forestal, monte bajo",,,J.L. Camaño & I. Gómez,LOU 25395
19,Cytisus striatus (Hill) Rothm.,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"cunetas de pista forestal, monte bajo",,,J.L. Camaño & I. Gómez,LOU 25396
20,Cirsium palustre (L.) Scop.,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"cunetas de pista forestal, monte bajo",,,J.L. Camaño & I. Gómez,LOU 25397
21,Gladiolus illyricus Koch,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"cunetas de pista forestal, monte bajo con Ulex",,,J.L. Camaño & I. Gómez,LOU 25398
22,Teucrium scorodonia L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160.0,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25399
23,Phytolacca americana L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160.0,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25400
24,Helichrysum foetidum (L.) Cass.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160.0,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25401
