scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,recordedBy,occurrenceID,basisOfRecord
Pteridium aquilinum (L.) Kuhn,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, junto a Ulex",,,I. Gómez & J.L. Camaño,LOU 25377,PreservedSpecimen
Daboecia cantabrica (Huds.) K. Koch,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, junto a Ulex",,,I. Gómez & J.L. Camaño,LOU 25378,PreservedSpecimen
Plantago major L.,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, junto a Ulex",,,I. Gómez & J.L. Camaño,LOU 25379,PreservedSpecimen
Lycopus europaeus L.,Po,Arbo,playa fluvial a orillas del Río Deva,29TNG5863,,13-VII-2003,"bosque de ribera, cerca de la orilla del río, terreno encharcado",,,J.L. Camaño & I. Gómez,LOU 25380,PreservedSpecimen
Cirsium filipendulum Lange,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, junto a Ulex",,,I. Gómez & J.L. Camaño,LOU 25381,PreservedSpecimen
Teucrium scorodonia L.,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,monte bajo,,,I. Gómez & J.L. Camaño,LOU 25382,PreservedSpecimen
Blechnum spicant (L.) Roth,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,"monte bajo, próximo a riachuelo",,,I. Gómez & J.L. Camaño,LOU 25383,PreservedSpecimen
Silene latifolia Poir.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,caminos a la salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25384,PreservedSpecimen
Lamium purpureum L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,caminos a la salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25385,PreservedSpecimen
Galium murale (L.) All.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,muros a la salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25386,PreservedSpecimen
Lonicera periclymenum L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25387,PreservedSpecimen
Digitalis purpurea L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25388,PreservedSpecimen
Prunella vulgaris L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,salida del pueblo,,,I. Gómez & J.L. Camaño,LOU 25389,PreservedSpecimen
Achillea millefolium L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,"ambiente ruderal, cerca del pueblo",,,I. Gómez & J.L. Camaño,LOU 25390,PreservedSpecimen
Arnica montana L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,"ambiente ruderal, cerca del pueblo",,,I. Gómez & J.L. Camaño,LOU 25391,PreservedSpecimen
Potamogeton polygonifolius Pourr.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,en riachuelo,,,I. Gómez & J.L. Camaño,LOU 25392,PreservedSpecimen
Phytolacca americana L.,Po,Arbo,playa fluvial a orillas del Río Deva,29TNG5863,,13-VII-2003,"bosque de ribera, cerca de la orilla del río",,,J.L. Camaño & I. Gómez,LOU 25393,PreservedSpecimen
Pterospartum tridentatum (L.) Willk.,Po,Forcarei,"Montes do Testeiro, Ventosela",29TNH5908,,4-VII-2003,monte bajo,,,J.L. Camaño & I. Gómez,LOU 25394,PreservedSpecimen
