occurrenceID,dwc_references,identifier,title,author,imagedate,rightsholder,description,description_with_links,license
SANT:SANT:1-A,http://www.usc.es/herbario?SANT_1,http://193.144.34.193/imsrv/santimagethumb.php?id=1,SANT 1: Acer campestre L.,CopyNino,2006-10-24T20:00:00,SANT Herbarium,SANT 1: Acer campestre L. [Click reference links for details & high resolution images],SANT 1: Acer campestre L. <a href=http://www.usc.es/herbario?SANT_1 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:10002-A,http://www.usc.es/herbario?SANT_10002,http://193.144.34.193/imsrv/santimagethumb.php?id=3829,SANT 10002: Sedum amplexicaule DC.,D.G.SanLeón,2011-02-04T20:00:00,D.G.SanLeón,SANT 10002: Sedum amplexicaule DC. [Click reference links for details & high resolution images],SANT 10002: Sedum amplexicaule DC. <a href=http://www.usc.es/herbario?SANT_10002 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:10003-A,http://www.usc.es/herbario?SANT_10003,http://193.144.34.193/imsrv/santimagethumb.php?id=3830,SANT 10003: Sedum amplexicaule DC.,D.G.SanLeón,2011-02-04T20:00:00,D.G.SanLeón,SANT 10003: Sedum amplexicaule DC. [Click reference links for details & high resolution images],SANT 10003: Sedum amplexicaule DC. <a href=http://www.usc.es/herbario?SANT_10003 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:1003-A,http://www.usc.es/herbario?SANT_1003,http://193.144.34.193/imsrv/santimagethumb.php?id=6393,SANT 1003: Helichrysum stoechas (L.) Moench,D.G.SanLeón,2013-07-31T20:00:00,SANT Herbarium,SANT 1003: Helichrysum stoechas (L.) Moench [Click reference links for details & high resolution images],SANT 1003: Helichrysum stoechas (L.) Moench <a href=http://www.usc.es/herbario?SANT_1003 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:1003-A,http://www.usc.es/herbario?SANT_1003,http://193.144.34.193/imsrv/santimagethumb.php?id=6394,SANT 1003: Helichrysum stoechas (L.) Moench,D.G.SanLeón,2013-07-31T20:00:00,SANT Herbarium,SANT 1003: Helichrysum stoechas (L.) Moench [Click reference links for details & high resolution images],SANT 1003: Helichrysum stoechas (L.) Moench <a href=http://www.usc.es/herbario?SANT_1003 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:1003-A,http://www.usc.es/herbario?SANT_1003,http://193.144.34.193/imsrv/santimagethumb.php?id=6585,SANT 1003: Helichrysum stoechas (L.) Moench,D.G.SanLeón,2013-08-01T20:00:00,SANT Herbarium,SANT 1003: Helichrysum stoechas (L.) Moench [Click reference links for details & high resolution images],SANT 1003: Helichrysum stoechas (L.) Moench <a href=http://www.usc.es/herbario?SANT_1003 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:10044-A,http://www.usc.es/herbario?SANT_10044,http://193.144.34.193/imsrv/santimagethumb.php?id=7713,SANT 10044: Phleum pratense L.,D.G.SanLeón,2017-02-06T20:00:00,D.G.SanLeón,SANT 10044: Phleum pratense L. [Click reference links for details & high resolution images],SANT 10044: Phleum pratense L. <a href=http://www.usc.es/herbario?SANT_10044 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:10105-A,http://www.usc.es/herbario?SANT_10105,http://193.144.34.193/imsrv/santimagethumb.php?id=7488,SANT 10105: Leontice leontopetalum L.,D.G.SanLeón,2016-02-23T20:00:00,D.G.SanLeón,SANT 10105: Leontice leontopetalum L. [Click reference links for details & high resolution images],SANT 10105: Leontice leontopetalum L. <a href=http://www.usc.es/herbario?SANT_10105 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:10130-A,http://www.usc.es/herbario?SANT_10130,http://193.144.34.193/imsrv/santimagethumb.php?id=6395,SANT 10130: Rumex dentatus L. subsp. mesopotamicus Rech. fil.,D.G.SanLeón,2014-02-26T20:00:00,SANT Herbarium,SANT 10130: Rumex dentatus L. subsp. mesopotamicus Rech. fil. [Click reference links for details & high resolution images],SANT 10130: Rumex dentatus L. subsp. mesopotamicus Rech. fil. <a href=http://www.usc.es/herbario?SANT_10130 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:10269-A,http://www.usc.es/herbario?SANT_10269,http://193.144.34.193/imsrv/santimagethumb.php?id=6396,SANT 10269: Sorbus minima (Ley) Hedl.,D.G.SanLeón,2013-07-17T20:00:00,SANT Herbarium,SANT 10269: Sorbus minima (Ley) Hedl. [Click reference links for details & high resolution images],SANT 10269: Sorbus minima (Ley) Hedl. <a href=http://www.usc.es/herbario?SANT_10269 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
