taxonID,family,genericName,specificEpithet,taxonRank,infraspecificEpithet,scientificNameAuthorship,scientificName,kingdom
0,Lycopodiaceae,Huperzia,selago,subsp.,selago,(L.) Bernh. ex Schrank & Mart.,Huperzia selago (L.) Bernh. ex Schrank & Mart. subsp. selago,Plantae
1,Lycopodiaceae,Lycopodium,clavatum,,,L.,Lycopodium clavatum L.,Plantae
2,Lycopodiaceae,Lycopodiella,inundata,,,(L.) Holub,Lycopodiella inundata (L.) Holub,Plantae
3,Isoetaceae,Isoetes,histrix,,,Bory,Isoetes histrix Bory,Plantae
4,Isoetaceae,Isoetes,longissimum,,,Bory,Isoetes longissimum Bory,Plantae
5,Equisetaceae,Equisetum,hyemale,,,L.,Equisetum hyemale L.,Plantae
6,Equisetaceae,Equisetum,ramosissimum,,,Desf.,Equisetum ramosissimum Desf.,Plantae
7,Equisetaceae,Equisetum,telmateia,,,Ehrh.,Equisetum telmateia Ehrh.,Plantae
8,Equisetaceae,Equisetum,arvense,,,L.,Equisetum arvense L.,Plantae
9,Equisetaceae,Equisetum,palustre,,,L.,Equisetum palustre L.,Plantae
10,Botrychiaceae,Botrychium,lunaria,,,(L.) Sw.,Botrychium lunaria (L.) Sw.,Plantae
11,Ophioglossaceae,Ophioglossum,lusitanicum,,,L.,Ophioglossum lusitanicum L.,Plantae
12,Ophioglossaceae,Ophioglossum,vulgatum,,,L.,Ophioglossum vulgatum L.,Plantae
13,Osmundaceae,Osmunda,regalis,,,L.,Osmunda regalis L.,Plantae
14,Polypodiaceae,Polypodium,cambricum,subsp.,cambricum,L.,Polypodium cambricum L. subsp. cambricum,Plantae
15,Polypodiaceae,Polypodium,interjectum,,,Shivas,Polypodium interjectum Shivas,Plantae
16,Polypodiaceae,Polypodium,vulgare,,,L.,Polypodium vulgare L.,Plantae
17,Sinopteridaceae,Cheilanthes,guanchica,,,Bolle,Cheilanthes guanchica Bolle,Plantae
18,Sinopteridaceae,Cheilanthes,acrosticha,,,(Balb.) Tod.,Cheilanthes acrosticha (Balb.) Tod.,Plantae
19,Sinopteridaceae,Cheilanthes,tinaei,,,Tod.,Cheilanthes tinaei Tod.,Plantae
20,Sinopteridaceae,Cheilanthes,hispanica,,,Mett.,Cheilanthes hispanica Mett.,Plantae
21,Sinopteridaceae,Cheilanthes,pulchella,,,Bory ex Willd.,Cheilanthes pulchella Bory ex Willd.,Plantae
22,Sinopteridaceae,Notholaena,marantae,subsp.,marantae,(L.) Desv.,Notholaena marantae (L.) Desv. subsp. marantae,Plantae
23,Cryptogrammaceae,Cryptogramma,crispa,,,(L.) R. Br. ex Hook.,Cryptogramma crispa (L.) R. Br. ex Hook.,Plantae
24,Pteridaceae,Pteris,cretica,,,L.,Pteris cretica L.,Plantae
25,Adiantaceae,Adiantum,capillus-veneris,,,L.,Adiantum capillus-veneris L.,Plantae
26,Hemionitidaceae,Anogramma,leptophylla,,,(L.) Link,Anogramma leptophylla (L.) Link,Plantae
27,Marsileaceae,Pilularia,globulifera,,,L.,Pilularia globulifera L.,Plantae
28,Hymenophyllaceae,Hymenophyllum,tunbrigense,,,(L.) Sm.,Hymenophyllum tunbrigense (L.) Sm.,Plantae
29,Hymenophyllaceae,Vandenboschia,speciosa,,,(Willd.) G. Kunkel,Vandenboschia speciosa (Willd.) G. Kunkel,Plantae
30,Hymenophyllaceae,Culcita,macrocarpa,,,C. Presl,Culcita macrocarpa C. Presl,Plantae
31,Hypolepidaceae,Pteridium,aquilinum,subsp.,aquilinum,(L.) Kuhn,Pteridium aquilinum (L.) Kuhn subsp. aquilinum,Plantae
32,Thelypteridaceae,Lastrea,limbosperma,,,(All.) Holub & Pouzar,Lastrea limbosperma (All.) Holub & Pouzar,Plantae
33,Thelypteridaceae,Thelypteris,palustris,,,Schott,Thelypteris palustris Schott,Plantae
34,Aspleniaceae,Asplenium,marinum,,,L.,Asplenium marinum L.,Plantae
35,Aspleniaceae,Asplenium,trichomanes,,,L.,Asplenium trichomanes L.,Plantae
36,Aspleniaceae,Asplenium,trichomanes,subsp.,trichomanes,L.,Asplenium trichomanes L. subsp. trichomanes,Plantae
37,Aspleniaceae,Asplenium,trichomanes,subsp.,quadrivalens, D.E. Mey.,Asplenium trichomanes subsp. quadrivalens D.E. Mey.,Plantae
38,Aspleniaceae,Asplenium,billotii,,,F.W. Schultz,Asplenium billotii F.W. Schultz,Plantae
39,Aspleniaceae,Asplenium,onopteris,,,L.,Asplenium onopteris L.,Plantae
40,Aspleniaceae,Asplenium,adiantum-nigrum,,,L.,Asplenium adiantum-nigrum L.,Plantae
41,Aspleniaceae,Asplenium,adiantum-nigrum,var.,adiantum-nigrum,L.,Asplenium adiantum-nigrum L. var. adiantum-nigrum,Plantae
42,Aspleniaceae,Asplenium,adiantum-nigrum,var.,corunnense, H. Christ,Asplenium adiantum-nigrum var. corunnense H. Christ,Plantae
43,Aspleniaceae,Asplenium,septentrionale,subsp.,septentrionale,(L.) Hoffm.,Asplenium septentrionale (L.) Hoffm. subsp. septentrionale,Plantae
44,Aspleniaceae,Asplenium,ruta-muraria,subsp.,ruta-muraria,L.,Asplenium ruta-muraria L. subsp. ruta-muraria,Plantae
45,Aspleniaceae,Phyllitis,scolopendrium,subsp.,scolopendrium,(L.) Newman,Phyllitis scolopendrium (L.) Newman subsp. scolopendrium,Plantae
46,Aspleniaceae,Ceterach,officinarum,subsp.,officinarum,Willd.,Ceterach officinarum Willd. subsp. officinarum,Plantae
47,Athyriaceae,Cystopteris,fragilis,,,(L.) Bernh.,Cystopteris fragilis (L.) Bernh.,Plantae
48,Athyriaceae,Cystopteris,fragilis,subsp.,fragilis,(L.) Bernh.,Cystopteris fragilis (L.) Bernh. subsp. fragilis,Plantae
49,Athyriaceae,Cystopteris,dickieana,,,R. Sim,Cystopteris dickieana R. Sim,Plantae
50,Athyriaceae,Cystopteris,viridula,,,(Desv.) Desv.,Cystopteris viridula (Desv.) Desv.,Plantae
51,Athyriaceae,Gymnocarpium,dryopteris,,,(L.) Newman,Gymnocarpium dryopteris (L.) Newman,Plantae
52,Athyriaceae,Athyrium,filix-femina,,,(L.) Roth,Athyrium filix-femina (L.) Roth,Plantae
53,Aspidiaceae,Dryopteris,filix-mas,,,(L.) Schott,Dryopteris filix-mas (L.) Schott,Plantae
