taxonID,scientificName,family,genericName,specificEpithet,taxonRank,infraspecificEpithet,scientificNameAuthorship,kingdom
2,Abutilon theophrasti Medik.,Malvaceae,Abutilon,theophrasti,species,,Medik.,Plantae
3,Acacia dealbata Link,Leguminosae,Acacia,dealbata,species,,Link,Plantae
4,Acacia sophorae (Labill.) R.Br.,Leguminosae,Acacia,sophorae,species,,(Labill.) R.Br.,Plantae
5,Acacia melanoxylon R.Br.,Leguminosae,Acacia,melanoxylon,species,,R.Br.,Plantae
6,Acanthus mollis L.,Acanthaceae,Acanthus,mollis,species,,L.,Plantae
7,Acer campestre L.,Aceraceae,Acer,campestre,species,,L.,Plantae
8,Acer monspessulanum L. subsp. monspessulanum,Aceraceae,Acer,monspessulanum,subsp.,monspessulanum,L.,Plantae
10,Acer pseudoplatanus L.,Aceraceae,Acer,pseudoplatanus,species,,L.,Plantae
13,Achillea millefolium L.,Compositae,Achillea,millefolium,species,,L.,Plantae
14,Achillea pyrenaica Sibth. ex Godr.,Compositae,Achillea,pyrenaica,species,,Sibth. ex Godr.,Plantae
20,Aconitum vulparia Reichenb. subsp. neapolitanum (Ten.) Muñoz Garm.,Ranunculaceae,Aconitum,vulparia,subsp.,neapolitanum,(Ten.) Muñoz Garm.,Plantae
21,Actaea spicata L.,Ranunculaceae,Actaea,spicata,species,,L.,Plantae
22,Adenocarpus complicatus (L.) J. Gay,Leguminosae,Adenocarpus,complicatus,species,,(L.) J. Gay,Plantae
23,Adenocarpus lainzii (Castrov.) Castrov.,Leguminosae,Adenocarpus,lainzii,species,,(Castrov.) Castrov.,Plantae
24,Adenostyles alpina (L.) Bluff & Fingerh. subsp. pyrenaica (Lange) M. Dillenb. & Kadereit,Compositae,Adenostyles,alpina,subsp.,pyrenaica,(Lange) M. Dillenb. & Kadereit,Plantae
26,Adiantum capillus-veneris L.,Pteridaceae subfam. Vittarioideae Link,Adiantum,capillus-veneris,species,,L.,Plantae
27,Aegilops geniculata Roth,Gramineae,Aegilops,geniculata,species,,Roth,Plantae
28,Aegilops triuncialis L.,Gramineae,Aegilops,triuncialis,species,,L.,Plantae
29,Aeonium arboreum (L.) Webb. & Berthel.,Crassulaceae,Aeonium,arboreum,species,,(L.) Webb. & Berthel.,Plantae
30,Sonchus bulbosus (L.) N. Kilian subsp. bulbosus,Compositae,Sonchus,bulbosus,subsp.,bulbosus,(L.) N. Kilian,Plantae
32,Agave americana L.,Agavaceae,Agave,americana,species,,L.,Plantae
33,Agrimonia eupatoria L. subsp. eupatoria,Rosaceae,Agrimonia,eupatoria,subsp.,eupatoria,L.,Plantae
34,Agrimonia procera Wallr.,Rosaceae,Agrimonia,procera,species,,Wallr.,Plantae
36,Agrostema githago L.,Caryophyllaceae,Agrostema,githago,species,,L.,Plantae
38,Agrostis capillaris L. subsp. capillaris,Gramineae,Agrostis,capillaris,subsp.,capillaris,L.,Plantae
39,Agrostis castellana Boiss. & Reut.,Gramineae,Agrostis,castellana,species,,Boiss. & Reut.,Plantae
40,Agrostis curtisii Kerguélen,Gramineae,Agrostis,curtisii,species,,Kerguélen,Plantae
43,"Linkagrostis juressi (Link) Romero García, Blanca & C. Morales",Gramineae,Linkagrostis,juressi,species,,"(Link) Romero García, Blanca & C. Morales",Plantae
46,"Agrostis hesperica Romero García, Blanca & C. Morales",Gramineae,Agrostis,hesperica,species,,"Romero García, Blanca & C. Morales",Plantae
47,Neoschishkinia pourretii (Willd.) Valdés & H. Scholz,Gramineae,Neoschishkinia,pourretii,species,,(Willd.) Valdés & H. Scholz,Plantae
49,Agrostis stolonifera L.,Gramineae,Agrostis,stolonifera,species,,L.,Plantae
50,Neoschischkinia elegans (Thore) Tzvelev,Gramineae,Neoschischkinia,elegans,species,,(Thore) Tzvelev,Plantae
51,Neoschischkinia truncatula (Parl.) Valdés & H. Scholz subsp. durieui (Boiss. & Reut. ex Willk.) Valdés & H. Scholz,Gramineae,Neoschischkinia,truncatula,subsp.,durieui,(Boiss. & Reut. ex Willk.) Valdés & H. Scholz,Plantae
53,Ailanthus altissima (Mill.) Swingle,Simaroubaceae,Ailanthus,altissima,species,,(Mill.) Swingle,Plantae
54,Aira caryophyllea L.,Gramineae,Aira,caryophyllea,species,,L.,Plantae
55,Aira multiculmis Dumort.,Gramineae,Aira,multiculmis,species,,Dumort.,Plantae
56,Aira cupaniana Guss.,Gramineae,Aira,cupaniana,species,,Guss.,Plantae
58,Aira praecox L.,Gramineae,Aira,praecox,species,,L.,Plantae
59,Airopsis tenella (Cav.) Coss. & Durieu,Gramineae,Airopsis,tenella,species,,(Cav.) Coss. & Durieu,Plantae
60,Ajuga chamaepitys (L.) Schreb.,Labiatae,Ajuga,chamaepitys,species,,(L.) Schreb.,Plantae
61,Ajuga pyramidalis L. subsp. pyramidalis,Labiatae,Ajuga,pyramidalis,subsp.,pyramidalis,L.,Plantae
62,Ajuga reptans L.,Labiatae,Ajuga,reptans,species,,L.,Plantae
63,Alcea rosea L.,Malvaceae,Alcea,rosea,species,,L.,Plantae
65,Alchemilla coriacea Buser,Rosaceae,Alchemilla,coriacea,species,,Buser,Plantae
68,Alchemilla saxatilis Buser,Rosaceae,Alchemilla,saxatilis,species,,Buser,Plantae
70,Alchemilla xanthochlora Rothm.,Rosaceae,Alchemilla,xanthochlora,species,,Rothm.,Plantae
71,Alisma plantago-aquatica L.,Alismataceae,Alisma,plantago-aquatica,species,,L.,Plantae
72,Alliaria petiolata (M. Bieb.) Cavara & Grande,Cruciferae,Alliaria,petiolata,species,,(M. Bieb.) Cavara & Grande,Plantae
73,Allium ampeloprasum L.,Liliaceae,Allium,ampeloprasum,species,,L.,Plantae
75,Allium guttatum Steven subsp. sardoum (Moris) Stearn,Liliaceae,Allium,guttatum,subsp.,sardoum,(Moris) Stearn,Plantae
77,Allium neapolitanum Cirillo,Liliaceae,Allium,neapolitanum,species,,Cirillo,Plantae
78,Allium oleraceum L.,Liliaceae,Allium,oleraceum,species,,L.,Plantae
80,Allium paniculatum L.,Liliaceae,Allium,paniculatum,species,,L.,Plantae
82,Allium massaessylum Batt. & Trab.,Liliaceae,Allium,massaessylum,species,,Batt. & Trab.,Plantae
83,Allium schoenoprasum L.,Liliaceae,Allium,schoenoprasum,species,,L.,Plantae
84,Allium scorzonerifolium Desf.,Liliaceae,Allium,scorzonerifolium,species,,Desf.,Plantae
