ScientificName,genus,specificEpithet,infraspecificEpithet,family,scientificNameAuthorship,Kingdom,BasisOfRecord,PreparationType,InstitutionCode,CollectionCode,CatalogNumber,GlobalUniqueIdentifier,occurrenceID,recordedBy,recordNumber,year,month,day,EarliestDateCollected,LatestDateCollected,modified,DLM,TypeStatus,occurrenceRemarks,informationWithheld,Country,StateProvince,Locality,habitat,verbatimElevation,decimalLongitude,decimalLatitude,CoordinatePrecision,VerbatimCoordinates,IDtaxon,ImageURL,cn,minimumElevationInMeters,maximumElevationInMeters
Dryopteris carthusiana (Vill.) H.P.Fuchs,Dryopteris,carthusiana,,Aspidiaceae,(Vill.) H.P.Fuchs,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81889,SANT:SANT:81889,SANT:SANT:81889-A,"Martiño-Fiz López Lindoso, Fins Eirexas Santamaria",2022-11-05/01,2022.0,11.0,5.0,2022-11-05,2022-11-05,2022-12-16T18:41:52Z,2022-12-16 18:41:52,,,,ES,C,"Rio Mendo, Oza dos Rios, Concello de Oza-Cesuras",Carballeira e bosque de ribeira. Substrato: Xisto,,,,,"43.232206,-8.168665",3299,,81889,,
Silene vulgaris (Moench) Garcke,Silene,vulgaris,,Caryophyllaceae,(Moench) Garcke,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,33654,SANT:SANT:33654,SANT:SANT:33654-A,"S.Ortiz 545, M.X.Martíns",,1996.0,7.0,18.0,1996-07-18,1996-07-18,2022-12-16T13:55:52Z,2022-12-16 13:55:52,,,,SE,,"Arredores de Stockholm, perto da Universidade",En pastizais artificiais,,,,,,6610,,33654,,
Melampyrum nemorosum L.,Melampyrum,nemorosum,,Scrophulariaceae,L.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,33653,SANT:SANT:33653,SANT:SANT:33653-A,"S.Ortiz 546, M.X.Martíns",,1996.0,7.0,18.0,1996-07-18,1996-07-18,2022-12-16T13:55:47Z,2022-12-16 13:55:47,,,,SE,,"Arredores de Stockholm, perto da Universidade",Ambientes nemorais antropizados,,,,,,5153,,33653,,
Rumex thyrsiflorus Fingerh.,Rumex,thyrsiflorus,,Polygonaceae,Fingerh.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,33652,SANT:SANT:33652,SANT:SANT:33652-A,"S.Ortiz 546, M.X.Martíns",,1996.0,7.0,18.0,1996-07-18,1996-07-18,2022-12-16T13:55:41Z,2022-12-16 13:55:41,,,,SE,,"Arredores de Stockholm, perto da Universidade",Pastizais artificiais,,,,,,6195,,33652,,
Oxalis araucana Reiche,Oxalis,araucana,,Oxalidaceae,Reiche,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,37709,SANT:SANT:37709,SANT:SANT:37709-A,"J.Amigo, C.Ramírez & al.",,1993.0,12.0,4.0,1993-12-04,1993-12-04,2022-12-16T13:55:27Z,2022-12-16 13:55:27,,,,CL,10ª,Región de Los Lagos; poco antes de Osorno al cruzar el río Bueno por la ruta 5,Bajo boldo,,,,,,5518,,37709,,
Lessingianthus pumilus (Vell.) H. Rob.,Lessingianthus,pumilus,,Compositae,(Vell.) H. Rob.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,39476,SANT:SANT:39476,SANT:SANT:39476-A,"G.et M.Hatschbach, E.Barbosa",,1997.0,3.0,14.0,1997-03-14,1997-03-14,2022-12-16T13:55:17Z,2022-12-16 13:55:17,,,,BR,MG,"Joaquim Felício; Serra do Cabral, Minas Gerais","Campo rupestre, solo turfoso, arenoso e úmido",,,,,,4844,,39476,,
Vitex megapotamica (Spreng.) Moldenke,Vitex,megapotamica,,Verbenaceae,(Spreng.) Moldenke,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,39387,SANT:SANT:39387,SANT:SANT:39387-A,"C.B.Poliquesi 169, E.Barbosa",,1993.0,11.0,23.0,1993-11-23,1993-11-23,2022-12-16T13:55:09Z,2022-12-16 13:55:09,,,,BR,PR,"Bocaiuva do Sul; Rod. para o Parque das Lauráceas, próximo a Colônia Joâo VI, Paraná",Mata secundária,,,,,,7252,,39387,,
Pulicaria odora (L.) Rchb.,Pulicaria,odora,,Compositae,(L.) Rchb.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,41851,SANT:SANT:41851,SANT:SANT:41851-A,"J.Amigo, R.I.Louzán & al.",,1999.0,6.0,10.0,1999-06-10,1999-06-10,2022-12-16T13:55:02Z,2022-12-16 13:55:02,,,,ES,Lu,Palas de Rei; San Martín de Ramil,En matorral muy degradado por el fuego,,,,,29TNH8344,5957,http://www.usc.es/herbario?SANT_41851,41851,,
Tocoyena formosa (C.& S.) Sch.,Tocoyena,formosa,,Rubiaceae,(C.& S.) Sch.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,40332,SANT:SANT:40332,SANT:SANT:40332-A,"G.et M.Hatschbach, E.Barbosa",,1997.0,11.0,17.0,1997-11-17,1997-11-17,2022-12-16T13:54:44Z,2022-12-16 13:54:44,,,,BR,MG,"Minas Gerais; Mun.Joaquim Felício, Serra do Cabral",Campo rupestre,,,,,,6936,,40332,,
Atriplex semibaccata R.Br.,Atriplex,semibaccata,,Chenopodiaceae,R.Br.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,47612,SANT:SANT:47612,SANT:SANT:47612-A,"E.Camuñas, M.B.Crespo",,1996.0,9.0,5.0,1996-09-05,1996-09-05,2022-12-16T13:54:32Z,2022-12-16 13:54:32,,,,ES,A,"Alicante, Babel, cerca vía",,,,,,30SYH1746,1201,,47612,,
Juncus tenuis Willd.,Juncus,tenuis,,Juncaceae,Willd.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81817,SANT:SANT:81817,SANT:SANT:81817-A,Martiño-Fiz López Lindoso,2022-09-24/02,2022.0,9.0,24.0,2022-09-24,2022-09-24,2022-12-15T17:51:46Z,2022-12-15 17:51:46,,,,ES,C,"Pozo do Pego, Concello de Touro",Centro de camiño en carballeira. Substrato: Xisto,,,,,"42.845752,-8.319096",4659,,81817,,
